"","equipe","ano","rodada","dia","local","oponente","formacao","resultado","gp","gc","posse","totalchutes","%chgol","g_ch","cagc","%defesas","cleansheets","dif_faltas","impedimentos","cruzamentos","cortes","roubadas","pts","saldo_gols","cardscore","%gols_pen","%gols_contra","opp_formacao"
"1","América (MG)","2021",11,"sáb","Em casa","Atlético Mineiro","3-4-1-2","D",-4,8,-6.9,0.9,0.0240937279095174,-0.0472232664995823,1.6,0.0616666666666666,-3,-0.6,0.7,5.8,0.9,1.4,-13,-12,0.2,0.1,0,"4--3-3"
"2","América (MG)","2021",12,"seg","Em casa","Sport Recife","3-4-1-2","D",4,7,1.2,3,0.0743774281274281,0.025975135975136,0.4,-0.124444444444444,-2,-1.3,0.8,4,2.3,1.3,0,-3,-0.4,0,-0.05,"4-2-3-1"
"3","América (MG)","2021",15,"dom","Em casa","Fluminense","4-2-3-1","V",5,2,-7.3,2.9,-0.0688579476079477,0.0366890054390054,1.4,0.0476190476190476,0,-0.1,0.2,1.1,6.1,-0.299999999999999,4,3,-0.3,0.1,-0.2,"4-2-3-1"
"4","América (MG)","2021",17,"seg","Em casa","Bragantino","4-2-3-1","D",-1,5,-7.1,2.9,0.0602125652125653,-0.0316540404040404,0.3,-0.13,-2,3.5,1.1,2.8,1.6,-0.699999999999999,-2,-6,-0.6,0,0,"4-2-3-1"
"5","América (MG)","2021",18,"dom","Em casa","Ceará","4-2-3-1","V",-2,2,-1.1,0.899999999999999,0.0116378066378067,-0.01187447786132,1,0.0708333333333332,-2,-1.1,0.8,8.4,2.7,-1,-2,-4,-0.3,0,0,"4-2-3-1"
"6","América (MG)","2021",20,"sáb","Em casa","Atl Paranaense","3-4-1-2","V",2,-7,-0.300000000000004,4,0.0619454887218045,-0.00106880205564416,0.2,0.16,3,-2.4,1.3,3.3,0.699999999999999,-1.2,8,9,-0.9,0,0,"4--4-2"
"7","América (MG)","2021",22,"dom","Em casa","Flamengo","4-2-3-1","E",-11,-3,-11.2,2.1,-0.133018939078301,-0.0904039372955109,-0.2,0.0591666666666667,1,-0.4,0.7,6.4,-1.3,-0.899999999999999,-5,-8,-1.8,-0.025,0,"4--3-3"
"8","América (MG)","2021",24,"qua","Em casa","Palmeiras","4-2-3-1","V",0,-11,-5.7,1.9,-0.0847987706030999,-0.0102418974787396,-0.9,0.209166666666667,4,1.1,0.1,-2.1,-2.9,-2.1,9,11,-2.3,0.05,0,"3--4-3"
"9","América (MG)","2021",27,"sáb","Em casa","Bahia","4-2-3-1","E",3,-4,3.7,3.9,-0.101446739964542,-0.0240071599940021,-0.6,0.0610714285714283,1,-4.2,1.3,-2.7,-1.8,0.9,6,7,-1.8,-0.05,0,"4-1-4-1"
"10","América (MG)","2021",29,"sáb","Em casa","Fortaleza","4-1-3-2","V",4,-4,-2.1,3.2,-0.0862353528114397,0.0207430954713563,0.9,0.259404761904762,0,1.4,0.3,1.5,-1.8,3.7,4,8,-1.1,0.1,-0.0333333333333333,"3-4-1-2"
"11","América (MG)","2021",32,"sáb","Em casa","Grêmio","4-1-4-1","V",7,-7,-4.9,3.8,-0.128603956430043,0.0406232616015225,0.399999999999999,0.125595238095238,2,-1.5,0.7,2.5,-3.4,-0.6,13,14,-0.9,0.183333333333333,0,"4-2-3-1"
"12","América (MG)","2021",33,"qua","Em casa","Atl Goianiense","4-1-4-1","E",9,-1,-0.0999999999999943,6,-0.0814624023319675,0.040117101095362,1.5,-0.0902380952380951,0,-3.2,0.2,-1,-0.300000000000001,1.7,8,10,-0.7,0.183333333333333,0,"4-2-3-1"
"13","América (MG)","2021",35,"ter","Em casa","Chapecoense","4-2-3-1","V",9,-9,8.3,5.2,-0.0304728966685489,0.0488819875776398,-0.5,0.251746031746032,3,-6.1,0.4,0.5,0,1.4,14,18,-1.2,0.166666666666667,-0.0833333333333333,"4-2-3-1"
"14","América (MG)","2021",38,"qui","Em casa","São Paulo","4-2-3-1","V",5,-4,-4.5,4.7,-0.062183444892255,-0.00297431401550395,0.4,0.443690476190476,4,-2.7,-0.4,-7.8,-0.4,5,4,9,-1.4,0.116666666666667,0,"3-4-1-2"
"15","Atl Goianiense","2020",11,"sáb","Em casa","Atlético Mineiro","4-2-3-1","D",-5,1,-13.1,-5.5,-0.0241681180765371,-0.0119748309049717,-0.6,-0.0511904761904763,-1,0.2,-1.3,-1.2,3.1,-0.6,-6,-6,0.8,-0.075,0,"4--3-3"
"16","Atl Goianiense","2020",12,"dom","Em casa","Botafogo (RJ)","4-2-3-1","E",1,5,6.9,-0.6,-0.00871657264304321,0.00893754774637126,-0.5,-0.138412698412698,-2,3.3,0.3,0.899999999999999,2.3,0.8,0,-4,0.6,-0.2,0,"3--4-3"
"17","Atl Goianiense","2020",15,"dom","Em casa","Bragantino","4-2-3-1","V",1,-2,7.5,-0.200000000000001,0.0794717954903714,0.0153926993199439,-0.0999999999999996,0.112142857142857,1,0,-0.2,4.8,1.1,-3.3,6,3,-1.1,0,0,"4-2-3-1"
"18","Atl Goianiense","2020",17,"sáb","Em casa","Atl Paranaense","4-2-3-1","E",6,2,-9.7,-1,-0.0031960376225082,0.0501634901046666,1,0.00380952380952371,0,-3.6,-1,-0.200000000000003,0.899999999999999,-1.3,7,4,0.5,0,0,"4--3-3"
"19","Atl Goianiense","2020",18,"dom","Em casa","Palmeiras","4-2-3-1","D",-2,0,-6.2,-2.9,-0.00656708922885396,0.00237660106777754,0.4,0.0614285714285714,1,1.8,-0.8,-2.6,-0.5,-2.8,3,-2,-0.9,-0.05,0,"4-2-3-1"
"20","Atl Goianiense","2020",20,"sáb","Em casa","Corinthians","4-2-3-1","E",-2,2,1.5,2.2,-0.0435400739611266,-0.0397689854005643,0.3,0.0229761904761904,-1,-2.5,-0.3,2.2,-1.8,-1.6,-5,-4,-0.4,-0.1,-0.05,"4-2-3-1"
"21","Atl Goianiense","2020",23,"sáb","Em casa","Internacional","4-2-3-1","E",-9,-2,-5.9,1.9,-0.1600523594053,-0.078529304029304,0.5,0.216904761904762,0,-4.2,-0.3,0.400000000000002,-1.5,-4,-2,-7,-1,-0.05,0,"4-1-3-2"
"22","Atl Goianiense","2020",24,"seg","Em casa","Goiás","4-2-3-1","D",1,-2,6,4.1,-0.101367509683299,-0.0121874003189793,-2.1,-0.0194444444444445,0,-2.8,0.3,6.7,1,-0.5,3,3,0.0999999999999996,0,0,"5--3-2"
"23","Atl Goianiense","2020",26,"qua","Em casa","Fluminense","4-2-3-1","V",-5,-1,-6.6,1,-0.0602983663509978,-0.0625116404063773,-0.3,-0.00166666666666659,0,0.6,0.2,4.4,-1.3,-1.4,-2,-4,0.6,0.1,-0.05,"4-1-4-1"
"24","Atl Goianiense","2020",28,"qui","Em casa","Vasco da Gama","4-2-3-1","E",1,-7,3.8,0.800000000000001,-0.0138949938949939,-0.0147680097680098,-2,-0.0750000000000001,0,-2.7,0,7.3,-2.9,-0.6,3,8,-0.4,0,0.05,"4-1-4-1"
"25","Atl Goianiense","2020",29,"dom","Em casa","Bahia","4-2-3-1","E",-1,-14,-3.1,-3.7,0.0581704733175321,0.0149128241040006,-1.8,0.239087301587302,2,-0.5,1.3,1,1.2,0.5,7,13,-0.8,0,0.05,"4-1-4-1"
"26","Atl Goianiense","2020",32,"dom","Em casa","Fortaleza","4-2-3-1","V",6,-2,-4.8,-1.6,0.0427677877677878,0.0541880341880342,0.8,0.201904761904762,-1,-0.7,0,4.7,0,0.6,8,8,-1.4,-0.05,0.025,"4-2-3-1"
"27","Atl Goianiense","2020",33,"dom","Em casa","São Paulo","4-2-3-1","V",2,-5,-12,-3.3,-0.0027881303423099,0.0265653077572582,-0.3,0.313095238095238,0,2,-0.0999999999999999,-1,-2,1.3,6,7,0.4,0.15,0.05,"4--4-2"
"28","Atl Goianiense","2020",35,"sáb","Em casa","Santos","4-2-3-1","E",1,-3,-8.5,-3.4,-0.0465672047250995,0.0304156954156954,0.7,0.135555555555556,0,4.1,-0.4,-1.6,-2.1,-1.3,3,4,0.8,0,0.05,"4-2-3-1"
