"","equipe","ano","rodada","dia","local","oponente","formacao","resultado","gp","gc","posse","totalchutes","%chgol","g_ch","cagc","%defesas","cleansheets","dif_faltas","impedimentos","cruzamentos","cortes","roubadas","pts","saldo_gols","cardscore","%gols_pen","%gols_contra","id_rodada","id_opp","opp_formacao","opp_gp","opp_gc","opp_posse","opp_totalchutes","opp_%chgol","opp_g_ch","opp_cagc","opp_%defesas","opp_cleansheets","opp_dif_faltas","opp_impedimentos","opp_cruzamentos","opp_cortes","opp_roubadas","opp_pts","opp_saldo_gols","opp_cardscore","opp_%gols_pen","%opp_gols_contra"
"1","América (MG)","2021",11,"sáb","Em casa","Atlético Mineiro","3-4-1-2","D",9,15,43.7,12.3,0.329537684537685,0.0743589743589744,4.8,0.753333333333333,2,0,2.3,19.8,13.5,10.6,9,-6,2.3,0.1,0,"América (MG)_2021_11","Atlético Mineiro_2021_11","4--3-3",13,7,50.6,11.4,0.305443956628167,0.121582240858557,3.2,0.691666666666667,5,0.6,1.6,14,12.6,9.2,22,6,2.1,0,0
"2","América (MG)","2021",12,"seg","Em casa","Sport Recife","3-4-1-2","D",9,15,44.5,12.9,0.308287684537685,0.0743589743589744,5,0.733333333333333,2,0.7,2.1,21.3,13.7,10.3,9,-6,2.2,0.1,0,"América (MG)_2021_12","Sport Recife_2021_12","4-2-3-1",5,8,43.3,9.9,0.233910256410256,0.0483838383838384,4.6,0.857777777777778,4,2,1.3,17.3,11.4,9,9,-3,2.6,0.1,0.05
"3","América (MG)","2021",15,"dom","Em casa","Fluminense","4-2-3-1","V",11,13,45.2,13.7,0.342315462315462,0.0844978632478633,4.3,0.725,2,0.4,1.8,22.7,13.9,9.3,13,-2,2.2,0.1,0,"América (MG)_2021_15","Fluminense_2021_15","4-2-3-1",6,11,52.5,10.8,0.41117340992341,0.0478088578088578,2.9,0.677380952380952,2,0.5,1.6,21.6,7.8,9.6,9,-5,2.5,0,0.2
"4","América (MG)","2021",17,"seg","Em casa","Bragantino","4-2-3-1","D",10,14,46.6,14.4,0.334256854256854,0.0740277777777778,4.6,0.671666666666667,2,0.6,2.2,23.5,13.9,8.5,12,-4,1.5,0,0,"América (MG)_2021_17","Bragantino_2021_17","4-2-3-1",11,9,53.7,11.5,0.274044289044289,0.105681818181818,4.3,0.801666666666667,4,-2.9,1.1,20.7,12.3,9.2,14,2,2.1,0,0
"5","América (MG)","2021",18,"dom","Em casa","Ceará","4-2-3-1","V",8,11,47.5,14.7,0.305309485835802,0.0595540935672515,4.2,0.721666666666667,3,1,1.9,23.8,13.8,8.6,12,-3,1.6,0,0,"América (MG)_2021_18","Ceará_2021_18","4-2-3-1",10,9,48.6,13.8,0.293671679197995,0.0714285714285714,3.2,0.650833333333333,5,2.1,1.1,15.4,11.1,9.6,14,1,1.9,0,0
"6","América (MG)","2021",20,"sáb","Em casa","Atl Paranaense","3-4-1-2","V",8,7,49.9,16.4,0.294703425229741,0.0419615009746589,3.2,0.801666666666667,4,0.2,2.2,25.3,12,8.6,13,1,1.3,0,0,"América (MG)_2021_20","Atl Paranaense_2021_20","4--4-2",6,14,50.2,12.4,0.232757936507936,0.043030303030303,3,0.641666666666667,1,2.6,0.9,22,11.3,9.8,5,-8,2.2,0,0
"7","América (MG)","2021",22,"dom","Em casa","Flamengo","4-2-3-1","E",10,7,46.3,16.7,0.316370091896408,0.0548781676413255,3.4,0.805833333333333,4,0.6,2.4,21.1,10.7,8.8,15,3,1.2,0,0,"América (MG)_2021_22","Flamengo_2021_22","4--3-3",21,10,57.5,14.6,0.449389030974709,0.145282104936836,3.6,0.746666666666667,3,1,1.7,14.7,12,9.7,20,11,3,0.025,0
"8","América (MG)","2021",24,"qua","Em casa","Palmeiras","4-2-3-1","V",12,6,47.5,16.9,0.290675647451963,0.0727022417153996,3.6,0.860833333333333,5,2.1,2.5,20.5,9.3,8.8,19,6,1.3,0.05,0,"América (MG)_2021_24","Palmeiras_2021_24","3--4-3",12,17,53.2,15,0.375474418055063,0.0829441391941392,4.5,0.651666666666667,1,1,2.4,22.6,12.2,10.9,10,-5,3.6,0,0
"9","América (MG)","2021",27,"sáb","Em casa","Bahia","4-2-3-1","E",12,7,46.8,15.7,0.262580409356725,0.0804800194931774,4,0.8775,5,1.1,2.3,18.6,9.5,10.5,17,5,1.4,0.05,0,"América (MG)_2021_27","Bahia_2021_27","4-1-4-1",9,11,43.1,11.8,0.364027149321267,0.104487179487179,4.6,0.816428571428572,4,5.3,1,21.3,11.3,9.6,11,-2,3.2,0.1,0
"10","América (MG)","2021",29,"sáb","Em casa","Fortaleza","4-1-3-2","V",14,8,48.5,16.8,0.252518115942029,0.0911493558776167,4.9,0.863214285714286,4,0,2,18.9,8.8,10.5,19,6,1.4,0.15,0,"América (MG)_2021_29","Fortaleza_2021_29","3-4-1-2",10,12,50.6,13.6,0.338753468753469,0.0704062604062604,4,0.603809523809524,4,-1.4,1.7,17.4,10.6,6.8,15,-2,2.5,0.05,0.0333333333333333
