"","equipe","ano","rodada","dia","local","oponente","formacao","resultado","gp","gc","posse","totalchutes","%chgol","g_ch","cagc","%defesas","cleansheets","dif_faltas","impedimentos","cruzamentos","cortes","roubadas","pts","saldo_gols","cardscore","%gols_pen","%gols_contra","opp_formacao"
"1","América (MG)","2021",6,"qui","Em casa","Juventude","4-2-3-1","E",0,-1,4.2,4,0.0532395382395383,-0.0166666666666667,0.8,0.0866666666666666,-1,1,0.6,6,2,5.2,-3,1,1.2,0,-0.0666666666666667,"4-2-3-1"
"2","América (MG)","2021",7,"dom","Em casa","Internacional","4-1-4-1","E",-2,2,-6.2,0.799999999999999,-0.0603185703185703,-0.0406153846153846,0.4,0.0733333333333333,0,-2.8,0,-3,-0.799999999999999,-0.6,-5,-4,-3,-0.2,0,"4--3-3"
"3","América (MG)","2021",9,"sáb","Em casa","Santos","4-2-2-2","V",3,3,-17.6,-0.4,0.0184981684981685,0.00932400932400931,1.8,-0.0666666666666667,-2,4,0.8,-2.4,0.199999999999999,1,0,0,1,0.2,0,"4-2-3-1"
"4","América (MG)","2021",11,"sáb","Em casa","Atlético Mineiro","3-4-1-2","D",-1,5,-8.6,0.199999999999999,0.00398110661268564,-0.0254385964912281,1.4,-0.193333333333333,-1,-1.2,0.8,6.2,2.8,1.2,-5,-6,-1,0,0,"4--3-3"
"5","América (MG)","2021",12,"seg","Em casa","Sport Recife","3-4-1-2","D",3,5,0.800000000000004,1.8,0.0599941724941725,0.0454545454545455,1.6,-0.198888888888889,-1,-2.2,1.2,4.2,4.4,0.799999999999999,1,-2,-0.8,-0.2,0,"4-2-3-1"
"6","América (MG)","2021",15,"dom","Em casa","Fluminense","4-2-3-1","V",0,-1,-4.4,5.2,-0.0978266178266178,-0.010491452991453,1,0.171904761904762,1,-0.2,0.2,5.8,6.2,-1,1,1,-0.6,0,-0.4,"4-2-3-1"
"7","América (MG)","2021",17,"seg","Em casa","Bragantino","4-2-3-1","D",0,2,-6.4,5.6,0.0700579975579975,-0.0486111111111111,-1,-0.206666666666667,-2,1.4,0.6,5.2,-1.8,-3.4,-1,-2,0,0,0,"4-2-3-1"
"8","América (MG)","2021",18,"dom","Em casa","Ceará","4-2-3-1","V",0,-3,2.4,3.6,-0.0313095238095238,-0.0220029239766082,-1.2,0.0916666666666667,1,-1.6,0.8,9.2,-3,-4.8,3,3,-0.2,0,0,"4-2-3-1"
"9","América (MG)","2021",20,"sáb","Em casa","Atl Paranaense","3-4-1-2","V",4,-3,-3,5.6,0.0739414824941141,0.0287967393230551,-0.4,0.226666666666667,2,-3,1.8,-2.4,-0.4,-1.4,7,7,-0.6,0,0,"4--4-2"
"10","América (MG)","2021",22,"dom","Em casa","Flamengo","4-2-3-1","E",-4,-1,-10,3.2,-0.0995471303423249,-0.0769026458328518,0.8,0.075,1,2,1,3.4,-3.6,3.6,-1,-3,-1.6,-0.05,0,"4--3-3"
"11","América (MG)","2021",24,"qua","Em casa","Palmeiras","4-2-3-1","V",2,-5,-5.4,4.8,-0.117454212454212,0.0123524623524623,0.4,0.235,1,-1.6,0.2,0,-3,-1.6,7,7,-1.2,0.1,0,"3--4-3"
"12","América (MG)","2021",27,"sáb","Em casa","Bahia","4-2-3-1","E",2,1,6.8,3.4,-0.210447461035696,-0.0327920227920228,-0.399999999999999,-0.09,-1,-4.8,0.4,1.4,-0.6,-1.6,2,1,-1.6,-0.1,0,"4-1-4-1"
"13","América (MG)","2021",29,"sáb","Em casa","Fortaleza","4-1-3-2","V",-1,-1,-3,0.200000000000001,-0.0370469626991366,-0.0050878831313614,2,0.383809523809524,0,0.8,-0.6,1.2,-3,4.8,-1,0,-1,0.1,0,"3-4-1-2"
"14","América (MG)","2021",32,"sáb","Em casa","Grêmio","4-1-4-1","V",7,-4,-5.8,6,-0.0458403914925654,0.0698444068009285,1.2,-0.10047619047619,0,1.4,1,1,-4.4,0.4,9,11,0.4,0.266666666666667,0,"4-2-3-1"
"15","América (MG)","2021",33,"qua","Em casa","Atl Goianiense","4-1-4-1","E",7,-2,-1.8,6,-0.0187833905225209,0.0948638318203535,1,-0.167142857142857,0,-4.8,0,-5,1,0.800000000000001,7,9,-0.8,0.166666666666667,0,"4-2-3-1"
"16","América (MG)","2021",35,"ter","Em casa","Chapecoense","4-2-3-1","V",8,-5,4.4,5.4,0.0175569358178054,0.098944099378882,-1.4,0.35952380952381,1,-2.8,0.4,0.399999999999999,1,3,9,13,0.4,0.133333333333333,-0.0666666666666667,"4-2-3-1"
"17","América (MG)","2021",38,"qui","Em casa","São Paulo","4-2-3-1","V",1,-3,-7.8,7.4,-0.172606534706077,-0.0595537185926202,-0.4,0.601666666666667,3,-2.2,-0.2,-3.2,-1.2,7,1,4,-3.2,0.0666666666666667,0,"3-4-1-2"
"18","Atl Goianiense","2020",6,"dom","Em casa","Ceará","4-2-3-1","D",-1,2,1.4,-2.2,0.0614585414585414,-0.0168764568764569,-1.8,-0.205,-1,-6.4,0.4,2,2.2,-4.4,-3,-3,1,0,0,"4-2-3-1"
"19","Atl Goianiense","2020",8,"dom","Em casa","Grêmio","4-2-3-1","E",-3,4,-2.6,-4.2,-0.0554384830855418,-0.0390960999784529,1.4,-0.23,-1,2.6,0,1,5,-1.8,-4,-7,-1,0,0,"4-2-3-1"
"20","Atl Goianiense","2020",11,"sáb","Em casa","Atlético Mineiro","4-2-3-1","D",-3,0,-7.8,-3,-0.0474145771668992,-0.0254234568321256,-1,0.0142857142857142,-1,1.6,-2.2,2.4,4.6,0.399999999999999,-4,-3,-0.8,-0.05,0,"4--3-3"
"21","Atl Goianiense","2020",12,"dom","Em casa","Botafogo (RJ)","4-2-3-1","E",2,0,4,-3.2,0.0537051282051282,0.0565,-0.600000000000001,0.0809523809523809,0,6,0.4,-2.6,3.2,-1.2,4,2,-0.4,-0.4,0,"3--4-3"
"22","Atl Goianiense","2020",15,"dom","Em casa","Bragantino","4-2-3-1","V",0,2,4,0,0.088814308498519,0.00436257309941522,1.2,0.164285714285714,0,-2.8,-0.4,3.8,0,-6.2,0,-2,-0.8,0,0,"4-2-3-1"
"23","Atl Goianiense","2020",17,"sáb","Em casa","Atl Paranaense","4-2-3-1","E",1,-2,-13,-1.4,-0.0839184704184704,0.015040404040404,1.2,0.2,1,-3.8,-1,-5.2,-1.6,-1.8,6,3,1.6,0,0,"4--3-3"
"24","Atl Goianiense","2020",18,"dom","Em casa","Palmeiras","4-2-3-1","D",-1,-1,-4.4,1.6,-0.0501666666666666,-0.0148333333333333,0.4,0.0433333333333334,0,-3,-1,-7.4,-1.4,-1.8,4,0,-0.4,0,0,"4-2-3-1"
"25","Atl Goianiense","2020",20,"sáb","Em casa","Corinthians","4-2-3-1","E",-3,-1,8.8,2.4,-0.144108785950891,-0.0656079008710588,-2.6,0.0483333333333333,-1,-5.8,-0.8,2.4,-3.2,0,-5,-2,0.399999999999999,-0.2,0,"4-2-3-1"
"26","Atl Goianiense","2020",23,"sáb","Em casa","Internacional","4-2-3-1","E",0,-4,-13.4,-0.199999999999999,0.00263520792932553,0.00128205128205128,-0.4,0.473809523809524,1,1.4,0.4,-1.4,0.799999999999999,-0.600000000000001,4,4,-3.2,0,0,"4-1-3-2"
"27","Atl Goianiense","2020",24,"seg","Em casa","Goiás","4-2-3-1","D",-1,-1,4.2,2.8,0.0292424242424242,-0.0515151515151515,-3.4,0.0111111111111112,0,-6,1.4,7.4,4.2,1.4,-1,0,-1.2,0,0,"5--3-2"
