"","equipe","ano","rodada","dia","local","oponente","formacao","resultado","gp","gc","posse","totalchutes","%chgol","g_ch","cagc","%defesas","cleansheets","dif_faltas","impedimentos","cruzamentos","cortes","roubadas","pts","saldo_gols","cardscore","%gols_pen","%gols_contra","id_rodada","id_opp","opp_formacao","opp_gp","opp_gc","opp_posse","opp_totalchutes","opp_%chgol","opp_g_ch","opp_cagc","opp_%defesas","opp_cleansheets","opp_dif_faltas","opp_impedimentos","opp_cruzamentos","opp_cortes","opp_roubadas","opp_pts","opp_saldo_gols","opp_cardscore","opp_%gols_pen","%opp_gols_contra"
"1","América (MG)","2021",6,"qui","Em casa","Juventude","4-2-3-1","E",2,6,48.8,12.6,0.278888888888889,0.0333333333333333,4,0.866666666666667,1,-1.2,2,20.2,11.2,11.4,2,-4,3,0.2,0,"América (MG)_2021_6","Juventude_2021_6","4-2-3-1",2,7,44.6,8.6,0.225649350649351,0.05,3.2,0.78,2,-2.2,1.4,14.2,9.2,6.2,5,-5,1.8,0.2,0.0666666666666667
"2","América (MG)","2021",7,"dom","Em casa","Internacional","4-1-4-1","E",3,6,45.8,13.2,0.291196581196581,0.0487179487179487,4,0.8,1,-0.4,1.4,20.8,10.8,10.4,3,-3,3,0.2,0,"América (MG)_2021_7","Internacional_2021_7","4--3-3",5,4,52,12.4,0.351515151515152,0.0893333333333333,3.6,0.726666666666667,1,2.4,1.4,23.8,11.6,11,8,1,6,0.4,0
"3","América (MG)","2021",9,"sáb","Em casa","Santos","4-2-2-2","V",9,7,38.8,12.2,0.408974358974359,0.148717948717949,5,0.766666666666667,1,1.4,2.6,18.6,13.2,10.6,8,2,3.6,0.2,0,"América (MG)_2021_9","Santos_2021_9","4-2-3-1",6,4,56.4,12.6,0.39047619047619,0.139393939393939,3.2,0.833333333333333,3,-2.6,1.8,21,13,9.6,8,2,2.6,0,0
"4","América (MG)","2021",11,"sáb","Em casa","Atlético Mineiro","3-4-1-2","D",7,9,38.6,12,0.38018648018648,0.115384615384615,5.6,0.64,1,1.2,2.6,19.4,15.8,9.8,7,-2,1.6,0,0,"América (MG)_2021_11","Atlético Mineiro_2021_11","4--3-3",8,4,47.2,11.8,0.376205373573795,0.140823211875843,4.2,0.833333333333333,2,2.4,1.8,13.2,13,8.6,12,4,2.6,0,0
"5","América (MG)","2021",12,"seg","Em casa","Sport Recife","3-4-1-2","D",6,9,43.2,12.6,0.325378787878788,0.1,6,0.666666666666667,1,1.8,2.8,21.8,16.6,10.2,6,-3,1.4,0,0,"América (MG)_2021_12","Sport Recife_2021_12","4-2-3-1",3,4,42.4,10.8,0.265384615384615,0.0545454545454545,4.4,0.865555555555556,2,4,1.6,17.6,12.2,9.4,5,-1,2.2,0.2,0
"6","América (MG)","2021",15,"dom","Em casa","Fluminense","4-2-3-1","V",3,4,51,15.4,0.304444444444444,0.0369444444444444,3.8,0.776666666666667,1,-0.8,1.4,27.2,14.8,8.4,5,-1,1.4,0,0,"América (MG)_2021_15","Fluminense_2021_15","4-2-3-1",3,5,55.4,10.2,0.402271062271062,0.0474358974358974,2.8,0.604761904761905,0,-0.6,1.2,21.4,8.6,9.4,4,-2,2,0,0.4
"7","América (MG)","2021",17,"seg","Em casa","Bragantino","4-2-3-1","D",4,5,50,16.2,0.343134920634921,0.0480555555555556,3.2,0.676666666666667,1,-0.6,1.6,25.2,11.2,6.8,6,-1,1.6,0,0,"América (MG)_2021_17","Bragantino_2021_17","4-2-3-1",4,3,56.4,10.6,0.273076923076923,0.0966666666666667,4.2,0.883333333333333,3,-2,1,20,13,10.2,7,1,1.6,0,0
"8","América (MG)","2021",18,"dom","Em casa","Ceará","4-2-3-1","V",5,4,48,16.4,0.307462406015038,0.0579970760233918,2.8,0.726666666666667,2,1.2,1.8,24,11.2,7.8,8,1,1.2,0,0,"América (MG)_2021_18","Ceará_2021_18","4-2-3-1",5,7,45.6,12.8,0.338771929824561,0.08,4,0.635,1,2.8,1,14.8,14.2,12.6,5,-2,1.4,0,0
"9","América (MG)","2021",20,"sáb","Em casa","Atl Paranaense","3-4-1-2","V",5,3,48.8,17.4,0.284962406015038,0.0469785575048733,2.6,0.826666666666667,3,1.2,3,23.4,9.2,8.8,8,2,1.2,0,0,"América (MG)_2021_20","Atl Paranaense_2021_20","4--4-2",1,6,51.8,11.8,0.211020923520923,0.0181818181818182,3,0.6,1,4.2,1.2,25.8,9.6,10.2,1,-5,1.8,0,0
"10","América (MG)","2021",22,"dom","Em casa","Flamengo","4-2-3-1","E",6,2,42.6,17.2,0.289605263157895,0.0617007797270955,3.6,0.935,3,1.8,3.2,17,10.2,10.8,9,4,0.8,0,0,"América (MG)_2021_22","Flamengo_2021_22","4--3-3",10,3,52.6,14,0.38915239350022,0.138603425559947,2.8,0.86,2,-0.2,2.2,13.6,13.8,7.2,10,7,2.4,0.05,0
"11","América (MG)","2021",24,"qua","Em casa","Palmeiras","4-2-3-1","V",8,3,48.2,18.8,0.2475,0.0999074074074074,4.4,0.895,2,1.4,2.4,19,9,9.6,11,5,1.2,0.1,0,"América (MG)_2021_24","Palmeiras_2021_24","3--4-3",6,8,53.6,14,0.364954212454212,0.0875549450549451,4,0.66,1,3,2.2,19,12,11.2,4,-2,2.4,0,0
