"","equipe","ano","rodada","dia","local","oponente","formacao","resultado","gp","gc","posse","totalchutes","%chgol","g_ch","cagc","%defesas","cleansheets","dif_faltas","impedimentos","cruzamentos","cortes","roubadas","pts","saldo_gols","cardscore","%gols_pen","%gols_contra","id_rodada","id_opp","opp_formacao","opp_gp","opp_gc","opp_posse","opp_totalchutes","opp_%chgol","opp_g_ch","opp_cagc","opp_%defesas","opp_cleansheets","opp_dif_faltas","opp_impedimentos","opp_cruzamentos","opp_cortes","opp_roubadas","opp_pts","opp_saldo_gols","opp_cardscore","opp_%gols_pen","%opp_gols_contra"
"1","América (MG)","2021",2,"dom","Em casa","Corinthians","4-4-1-1","D",0,1,56,10,0.4,0,3,1,0,-8,4,22,15,13,0,-1,2,0,0,"América (MG)_2021_2","Corinthians_2021_2","4-1-4-1",1,0,44,6,0.666666666666667,0.166666666666667,4,1,1,9,0,13,15,9,3,1,3,1,0
"2","América (MG)","2021",4,"qui","Em casa","Cuiabá","4-1-4-1","E",0,0,57,20,0.3,0,3,1,1,0,2,27,10,9,1,0,1,0,0,"América (MG)_2021_4","Cuiabá_2021_4","4--3-3",0,0,43,8,0.375,0,6,1,1,0,3,11,7,10,1,0,1,0,0
"3","América (MG)","2021",6,"qui","Em casa","Juventude","4-2-3-1","E",1,1,54,12,0.166666666666667,0.0833333333333333,2,1,0,2,0,28,5,13,1,0,8,1,0,"América (MG)_2021_6","Juventude_2021_6","4-2-3-1",1,1,46,8,0.375,0.125,1,1,0,1,1,8,10,7,1,0,2,1,0
"4","América (MG)","2021",7,"dom","Em casa","Internacional","4-1-4-1","E",1,1,41,13,0.461538461538462,0.0769230769230769,3,0.666666666666667,0,-4,1,25,13,8,1,0,2,0,0,"América (MG)_2021_7","Internacional_2021_7","4--3-3",1,1,60,10,0.3,0.1,6,0.833333333333333,0,6,0,24,14,10,1,0,3,0,0
"5","América (MG)","2021",9,"sáb","Em casa","Santos","4-2-2-2","V",2,0,28,8,0.5,0.25,8,1,1,8,4,10,20,11,3,2,4,0,0,"América (MG)_2021_9","Santos_2021_9","4-2-3-1",0,2,72,21,0.380952380952381,0,4,0.5,0,-7,2,34,14,3,0,-2,3,0,0
"6","América (MG)","2021",11,"sáb","Em casa","Atlético Mineiro","3-4-1-2","D",0,1,50,12,0.166666666666667,0,6,0.833333333333333,0,0,2,34,19,11,0,-1,1,0,0,"América (MG)_2021_11","Atlético Mineiro_2021_11","4--3-3",1,0,50,13,0.384615384615385,0.0769230769230769,2,1,1,1,0,18,21,13,3,1,1,0,0
"7","América (MG)","2021",12,"seg","Em casa","Sport Recife","3-4-1-2","D",0,1,64,16,0.1875,0,5,0.8,0,-1,2,37,17,10,0,-1,1,0,0,"América (MG)_2021_12","Sport Recife_2021_12","4-2-3-1",1,0,36,11,0.454545454545455,0.0909090909090909,3,1,1,3,2,10,14,16,3,1,3,0,0
"8","América (MG)","2021",15,"dom","Em casa","Fluminense","4-2-3-1","V",1,0,45,15,0.466666666666667,0.0666666666666667,2,1,1,6,1,19,9,5,3,1,2,0,0,"América (MG)_2021_15","Fluminense_2021_15","4-2-3-1",0,1,56,7,0.285714285714286,0,7,0.857142857142857,0,-3,1,20,7,12,0,-1,2,0,0
"9","América (MG)","2021",17,"seg","Em casa","Bragantino","4-2-3-1","D",0,2,50,14,0.214285714285714,0,3,0.333333333333333,0,-1,2,25,7,8,0,-2,2,0,0,"América (MG)_2021_17","Bragantino_2021_17","4-2-3-1",2,0,50,10,0.3,0.2,3,1,1,1,2,11,18,16,3,2,0,0,0
"10","América (MG)","2021",18,"dom","Em casa","Ceará","4-2-3-1","V",2,0,38,19,0.210526315789474,0.105263157894737,2,1,1,7,2,16,16,12,3,2,1,0,0,"América (MG)_2021_18","Ceará_2021_18","4-2-3-1",0,2,62,6,0.333333333333333,0,2,0.5,0,-4,1,14,11,12,0,-2,2,0,0
"11","América (MG)","2021",20,"sáb","Em casa","Atl Paranaense","3-4-1-2","V",2,0,55,27,0.222222222222222,0.0740740740740741,1,1,1,-2,3,26,7,9,3,2,1,0,0,"América (MG)_2021_20","Atl Paranaense_2021_20","4--4-2",0,2,45,7,0.142857142857143,0,6,0.666666666666667,0,3,1,17,8,8,0,-2,1,0,0
